Channel URL,Video URL,Views,Year,Quarter,Month,Day
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=Vq2iB5EpI,713401,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=VQ-jb68_w,1859555,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=vUUAN7gl4,269,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=W4Myw1Aho,181838,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=wGpOs4pk8,1002,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=WiUzn75IA,2640,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=WZi1L4oUk,47404,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=ykL1g3EUk,113,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=yupDJ7CRc,701116,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=ZcHW5764g,1023,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=ZRbgC19gE,170,2021,Qtr 1,March,10
youtube.com/channel/UC_KpTo38S7I2SwQgm1aqaQm2,youtube.com/watch?v=zxhOw3P68,51810,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=-3fSz4GMw,402,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=4LPZH4134,11045,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=5uRku3zrw,8036886,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=6ee1v7ojg,20809,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=9wEHZ6I38,23236,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=a2fp61mHw,357996,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=AVC5E34xc,62651,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=Bhlc-1U1I,28758128,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=EH-_V4MXM,521,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=fojJ_8NIk,238200,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=FOoJH30lI,313,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=hNpIc4GDw,878,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=HXJxV6mIQ,737,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=j6SLQ7xbc,2057,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=jNaLN5N-M,9128,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=Jt17R4-5c,339,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=KR_0Q21IU,730,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=kUO2Z65DI,5226,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=kzT3R8nJk,1739,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=Lsh1N10_U,336,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=nAJIJ6J9g,286,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=OmWSb89X4,3226,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=Q7YfG1SJU,2963,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=RBOEE69KI,2321,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=s7N_M4Cs8,10327,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=sNi4s6Pxc,40426,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=sQTFG2tKU,9369997,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=Wx6Y86M5k,123308,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=x7Dq56lBQ,14050,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=XGg5o2TSg,317,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=xoZmP26kc,707,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=XRNb83Sis,400,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=y0MzX3pDc,1988,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=zCSUz9hjA,3681007,2021,Qtr 1,March,10
youtube.com/channel/UC0bNByUj13rMW50t45AnCFc8,youtube.com/watch?v=zY9oa3KtY,11518,2021,Qtr 1,March,10
youtube.com/channel/UC0l6r1zgF2hnVuYOslUAYqd4,youtube.com/watch?v=05fYE83d0,977,2021,Qtr 1,March,10
youtube.com/channel/UC0l6r1zgF2hnVuYOslUAYqd4,youtube.com/watch?v=1RpAU7-rg,840,2021,Qtr 1,March,10
youtube.com/channel/UC0l6r1zgF2hnVuYOslUAYqd4,youtube.com/watch?v=8hGBI4IoA,258,2021,Qtr 1,March,10
youtube.com/channel/UC0l6r1zgF2hnVuYOslUAYqd4,youtube.com/watch?v=AV6T19beI,34542,2021,Qtr 1,March,10
youtube.com/channel/UC0l6r1zgF2hnVuYOslUAYqd4,youtube.com/watch?v=cwe757hAI,7321,2021,Qtr 1,March,10
youtube.com/channel/UC0l6r1zgF2hnVuYOslUAYqd4,youtube.com/watch?v=DkUUi8qH4,2419,2021,Qtr 1,March,10
youtube.com/channel/UC0l6r1zgF2hnVuYOslUAYqd4,youtube.com/watch?v=h2s3r26fk,19909,2021,Qtr 1,March,10
youtube.com/channel/UC0l6r1zgF2hnVuYOslUAYqd4,youtube.com/watch?v=hsRKE2KYc,1074,2021,Qtr 1,March,10
youtube.com/channel/UC0l6r1zgF2hnVuYOslUAYqd4,youtube.com/watch?v=jHDqf7HGE,9653,2021,Qtr 1,March,10
youtube.com/channel/UC0l6r1zgF2hnVuYOslUAYqd4,youtube.com/watch?v=l0aMh79m0,529,2021,Qtr 1,March,10
youtube.com/channel/UC0l6r1zgF2hnVuYOslUAYqd4,youtube.com/watch?v=l-evm8ggM,686,2021,Qtr 1,March,10
youtube.com/channel/UC0l6r1zgF2hnVuYOslUAYqd4,youtube.com/watch?v=OEisz8X3g,8299,2021,Qtr 1,March,10
youtube.com/channel/UC0l6r1zgF2hnVuYOslUAYqd4,youtube.com/watch?v=ts9Hy60zg,439,2021,Qtr 1,March,10
youtube.com/channel/UC0uGC_EBw3Axw3ljqeGjy2q3,youtube.com/watch?v=S8WYv2ZDk,18819,2021,Qtr 1,March,10
youtube.com/channel/UC0z3gtD0W7om0Hk8oQEX8Qq5,youtube.com/watch?v=1PIeB8Ibw,4158,2021,Qtr 1,March,10
youtube.com/channel/UC0z3gtD0W7om0Hk8oQEX8Qq5,youtube.com/watch?v=2C1A35VOM,3265,2021,Qtr 1,March,10
youtube.com/channel/UC0z3gtD0W7om0Hk8oQEX8Qq5,youtube.com/watch?v=84fqP83-Q,3148924,2021,Qtr 1,March,10
youtube.com/channel/UC0z3gtD0W7om0Hk8oQEX8Qq5,youtube.com/watch?v=OL2FE6QCk,973,2021,Qtr 1,March,10
youtube.com/channel/UC0z3gtD0W7om0Hk8oQEX8Qq5,youtube.com/watch?v=oXpe15TSA,1595256,2021,Qtr 1,March,10
youtube.com/channel/UC0z3gtD0W7om0Hk8oQEX8Qq5,youtube.com/watch?v=R5HXI3YCU,826872,2021,Qtr 1,March,10
youtube.com/channel/UC0z3gtD0W7om0Hk8oQEX8Qq5,youtube.com/watch?v=wTVVu44fo,567,2021,Qtr 1,March,10
youtube.com/channel/UC0z3gtD0W7om0Hk8oQEX8Qq5,youtube.com/watch?v=z7MEX6s4I,1573626,2021,Qtr 1,March,10
